;Demand;Import limit;Export limit;Import price;Export price;Import emission factor;Export emission factor;Generic production
7-1-2022 15:00;0.0005155;0.001;0.001;200;90;0.25;;
7-1-2022 16:00;0.000578942;0.001;0.001;200;90;0.25;;
7-1-2022 17:00;0.00058672;0.001;0.001;200;90;0.25;;
7-1-2022 18:00;0.000581574;0.001;0.001;200;90;0.25;;
7-1-2022 19:00;0.000568612;0.001;0.001;200;90;0.25;;
7-1-2022 20:00;0.000540327;0.001;0.001;200;90;0.25;;
7-1-2022 21:00;0.000531148;0.001;0.001;200;90;0.25;;
7-1-2022 22:00;0.000475186;0.001;0.001;200;90;0.25;;
7-1-2022 23:00;0.000436189;0.001;0.001;200;90;0.25;;
8-1-2022 00:00;0.000459557;0.001;0.001;200;90;0.25;;
8-1-2022 01:00;0.000453347;0.001;0.001;200;90;0.25;;
8-1-2022 02:00;0.00045;0.001;0.001;200;90;0.25;;
8-1-2022 03:00;0.000448509;0.001;0.001;200;90;0.25;;
8-1-2022 04:00;0.000518999;0.001;0.001;200;90;0.25;;
8-1-2022 05:00;0.000650951;0.001;0.001;200;90;0.25;;
8-1-2022 06:00;0.000766139;0.001;0.001;200;90;0.25;;
8-1-2022 07:00;0.000829964;0.001;0.001;200;90;0.25;;
8-1-2022 08:00;0.000851142;0.001;0.001;200;90;0.25;;
8-1-2022 09:00;0.000865883;0.001;0.001;200;90;0.25;;
8-1-2022 10:00;0.000873659;0.001;0.001;200;90;0.25;;
8-1-2022 11:00;0.00088644;0.001;0.001;200;90;0.25;;
8-1-2022 12:00;0.000884225;0.001;0.001;200;90;0.25;;
8-1-2022 13:00;0.00085919;0.001;0.001;200;90;0.25;;
8-1-2022 14:00;0.000847746;0.001;0.001;200;90;0.25;;
8-1-2022 15:00;0.000867426;0.001;0.001;200;90;0.25;;
8-1-2022 16:00;0.000907153;0.001;0.001;200;90;0.25;;
8-1-2022 17:00;0.000918837;0.001;0.001;200;90;0.25;;
8-1-2022 18:00;0.000896556;0.001;0.001;200;90;0.25;;
8-1-2022 19:00;0.000807688;0.001;0.001;200;90;0.25;;
8-1-2022 20:00;0.000732439;0.001;0.001;200;90;0.25;;
8-1-2022 21:00;0.000671511;0.001;0.001;200;90;0.25;;
8-1-2022 22:00;0.000587345;0.001;0.001;200;90;0.25;;
8-1-2022 23:00;0.000504026;0.001;0.001;200;90;0.25;;
9-1-2022 00:00;0.000406256;0.001;0.001;200;90;0.25;;
9-1-2022 01:00;0.00040002;0.001;0.001;200;90;0.25;;
9-1-2022 02:00;0.000396376;0.001;0.001;200;90;0.25;;
9-1-2022 03:00;0.00039489;0.001;0.001;200;90;0.25;;
9-1-2022 04:00;0.000464397;0.001;0.001;200;90;0.25;;
9-1-2022 05:00;0.000605215;0.001;0.001;200;90;0.25;;
9-1-2022 06:00;0.000729497;0.001;0.001;200;90;0.25;;
9-1-2022 07:00;0.000796731;0.001;0.001;200;90;0.25;;
9-1-2022 08:00;0.000818117;0.001;0.001;200;90;0.25;;
9-1-2022 09:00;0.000834093;0.001;0.001;200;90;0.25;;
9-1-2022 10:00;0.000843507;0.001;0.001;200;90;0.25;;
9-1-2022 11:00;0.000856831;0.001;0.001;200;90;0.25;;
9-1-2022 12:00;0.000852192;0.001;0.001;200;90;0.25;;
9-1-2022 13:00;0.000826396;0.001;0.001;200;90;0.25;;
9-1-2022 14:00;0.000815694;0.001;0.001;200;90;0.25;;
9-1-2022 15:00;0.000838553;0.001;0.001;200;90;0.25;;
9-1-2022 16:00;0.000876431;0.001;0.001;200;90;0.25;;
9-1-2022 17:00;0.000887664;0.001;0.001;200;90;0.25;;
9-1-2022 18:00;0.00085416;0.001;0.001;200;90;0.25;;
9-1-2022 19:00;0.000759095;0.001;0.001;200;90;0.25;;
9-1-2022 20:00;0.000680575;0.001;0.001;200;90;0.25;;
9-1-2022 21:00;0.000617889;0.001;0.001;200;90;0.25;;
9-1-2022 22:00;0.000529842;0.001;0.001;200;90;0.25;;
9-1-2022 23:00;0.000442354;0.001;0.001;200;90;0.25;;
10-1-2022 00:00;0.000373358;0.001;0.001;200;90;0.25;;
10-1-2022 01:00;0.000367053;0.001;0.001;200;90;0.25;;
10-1-2022 02:00;0.000363122;0.001;0.001;200;90;0.25;;
10-1-2022 03:00;0.000361572;0.001;0.001;200;90;0.25;;
10-1-2022 04:00;0.000445099;0.001;0.001;200;90;0.25;;
10-1-2022 05:00;0.00059501;0.001;0.001;200;90;0.25;;
10-1-2022 06:00;0.000723445;0.001;0.001;200;90;0.25;;
10-1-2022 07:00;0.000790944;0.001;0.001;200;90;0.25;;
10-1-2022 08:00;0.000812323;0.001;0.001;200;90;0.25;;
10-1-2022 09:00;0.000827067;0.001;0.001;200;90;0.25;;
10-1-2022 10:00;0.000836638;0.001;0.001;200;90;0.25;;
10-1-2022 11:00;0.000851055;0.001;0.001;200;90;0.25;;
10-1-2022 12:00;0.000848092;0.001;0.001;200;90;0.25;;
10-1-2022 13:00;0.000821835;0.001;0.001;200;90;0.25;;
10-1-2022 14:00;0.000809731;0.001;0.001;200;90;0.25;;
10-1-2022 15:00;0.000831301;0.001;0.001;200;90;0.25;;
10-1-2022 16:00;0.000871399;0.001;0.001;200;90;0.25;;
10-1-2022 17:00;0.000882126;0.001;0.001;200;90;0.25;;
10-1-2022 18:00;0.000844248;0.001;0.001;200;90;0.25;;
10-1-2022 19:00;0.00074394;0.001;0.001;200;90;0.25;;
10-1-2022 20:00;0.00065994;0.001;0.001;200;90;0.25;;
10-1-2022 21:00;0.0005924;0.001;0.001;200;90;0.25;;
10-1-2022 22:00;0.000500501;0.001;0.001;200;90;0.25;;
